index,sentence
671,او با خلق بدی از خواب بیدار شد.
672,پسرفت جنگل
673,او طنابها را به هم گره زد.
674,او خانه و سهام خود را به فرزندانش منتقل کرد.
675,فقط اون میدونه تو دلم چه خبره
676,اینجااز دور افتاده هم دور افتاده تره
677,ببخشید دیر رسیدم.
678,آهتَن
679,جُست
680,آیدیس
681,امیرمنصور
682,اُمکلثوم
683,فَسانیدن
684,امیرعلا
685,امینالله
686,اُلفت
687,آتنا
688,ولی در ادبیات همیشه موارد ملموس نیست
689,بوتسوانا
690,اِریس
691,اَشجان
692,وجود داشت
693,امیرخسرو
694,امیریدالله
695,کتاب الاغانی از ابوالفرج اصفهانی پر است از انواع شعر غنایی
696,ایرمان
697,السالوادور
698,پرسید
699,از این روش پیروی کردند
700,یکی از گونه های ادبی را اقتباس می کند
701,این به دلیل سمبلهای آنها نیست
702,دیدن کرد
703,زاگرب
704,ژاپن
705,آرتان
706,دیدنکرد
707,چهارده
708,آبادانید
709,تصمیم گرفت
710,لمبید
711,امینطاها
712,اَرسلان
713,شناخت
714,فهرستی که مجله فوربس هر سال
715,اَلیسا
716,آنیتا
717,آستیاژ
718,بودلر عبارت معروفی دارد که میگوید
719,ایزدیار
720,گینه
721,از بودلر آغاز شد
722,رهبری کرد
723,اِلتفات
724,امیرسام
725,اِحسانه
726,امیرعطا
727,تعریف ادبیات تطبیقی
728,آریاز
729,بَرانوش
730,کره جنوبی
731,درگیری قومی بین تامیلها در شمال و شرق سریلانکا که هندو بودند
732,در غرب مالارمه در این زمینه معروف است
733,ترجمه کرد
734,بَسام
735,رمانی را به عرش رساندن
736,دیوارهای سفید و ناصاف
737,رودخانه شهر را دور میزند.
738,روشهای بیرحمانه
739,راهزنی و آدمکشی
740,برای دریافت امداد به رانندهای که داشت نزدیک میشد علامت داد.
741,زنی پارسا
742,رطوبت به مغز استخوانم نفوذ میکرد.
743,سازمان ملل تعرض آنها را محکوم کرد.
744,زنش بر او سوار است.
745,رهبر یک دسته نوجوانانی که دزدی میکردند.
746,پلیس به آنها اجازهی عبور نداد.
747,روند عشق راستین
748,حس وظیفهشناسی
749,جاهطلبی مکبث را وادار به کشتن شاه کرد.
750,برانگیختگی همگانی
751,رشتههای ظریف طلا
752,حوالهی بانکی
753,رقابت آنها به نهایت رسید.
754,به آنچه که میگویم عمل کن والا عواقب آن را خواهی چشید.
755,بلند حرف بزن، صدایت را نمیشنوم!
756,پیشی گرفتن ژاپن از کشورهای دیگر در صدور اتومبیل
757,رفت و آمد به مدت دو ساعت مختل شد.
758,پیش از بیست سالگی آثار یونان و روم باستان را خوب فرا گرفته بود.
759,حماقت فاحش
760,او سیمایی کودکسان داشت.
761,بورس سهام سازمان بزرگ و پیچیدهای است.
762,رودخانهای که در سرازیری تپه مسیر مارپیچ داشت
763,بزک نکردن
764,رابطهی میان مزدها و قیمتها
765,حل شدن شکر در چای
766,روشهای فروشندگی توام با اصرار و ابرام
767,زور بازوان رستم
768,چتر ببر، بیرون دارد رگبار میآید.
769,او پشتیبانی خود را از نامزد حزب کارگر رسما اعلام کرد.
770,تیر کشیدن ناگهانی درد
771,زنگ دوم
772,برای عبرت دیگران شاگردی را سخت تنبیه کردن
773,حسن نیت ثروتی معنوی است.
774,زمین از برف پوشیده بود.
775,زنش را پیش دکتر برد.
776,زنی دارای حسن نیت
777,زخم گلوله هفتهها درد میکرد.
778,رگباری از خنده
779,دونده یک دور میدان از دیگران جلو بود.
780,پارچهی پردوام
781,رهبر جدید میخواهد قوانین انتخابات را بهبود بخشد.
782,او در بهرهگیری از افکار همکارانش ید طولا دارد.
783,پای زری لغزید و از پلهها افتاد.
784,رئیس بانک با پولها غیبش زد.
785,پس از سالها دوست قدیمی خود را تشخیص دادن
786,رفت که شخصا مشاهده کند.
787,روکش متکا، روبالشی
788,او صدای خود را کم کرد.
789,پیش از صبحانه استحمام کردم.
790,پایان سفر
791,رفتار مشکوک
792,زندانبان به جرم اخاذی از زندانیان اخراج شد.
793,رود آمازون به تدریج وسیع میشود و به پهنای شش مایل میرسد.
794,پس از چندین سال وزارت، معلمی برایش نوعی تنزل بود.
795,او دوست دارد شاگردان خود را مچل کند.
796,به سیاست بینالمللی توجه داشتن
797,رفتار آنها مثل بچهها بود.
798,پیشرفت سریع کردن
799,جزئیات تکامل نیافتهی طرح
800,بیسوادی و جهالت دوبلای بزرگ هستند.
801,تمام شب را رقصیدیم.
802,رستم تیر دوم را رها کرد.
803,توانمندی فزایندهی طبقات متوسط
804,او پول دارد ولی فوت و فن کسب را بلد نیست.
805,او با موهای ژولیده از بستر برخاست و یکراست به آشپزخانه رفت.
806,راه باز
807,بعدازظهر رفتیم هواخوری.
808,او در شطرنج معرکه است، او خدای شطرنج است.
809,پایههای لق میز کهنه
810,حقهبازیهای او بالاخره کارش را به زندان کشاند.
811,تکان سر
812,زاویهیاب خود را برداشتم و دو ستاره را فرازیابی کردم.
813,رستم یک قهرمان افسانهای بود.
814,روزنامهها خبر طلاق او را در بوق و کرنا کردند.
815,جنگ کشور را ویران کرد.
816,رودخانهی عظیم آمازون
817,جلو پای امپراتور به سجده افتادند.
818,تعداد زیادی از اشخاص برجسته در جلسه شرکت کردند.
819,برخورد تصادفی دو دوست قدیمی در خیابان
820,او کنار خیابان میایستاد و به دختران رهگذر نگاه هیز میکرد.
821,چپ گرایان به طور فزایندهای منزوی میشدند.
822,بیشتر مردم کانادا انگلیسی زبانند.
823,به کرمان نقل مکان داد.
824,توانایی رسانشی، توانایی در ایجاد ارتباط
825,رویدادی که تاکنون بیسابقه بوده است
826,حسابهای دریافتنی
827,زمان میان وارد شدن و عزیمت
828,به سلام من با لبخندی دوستانه پاسخ داد.
829,جامعهی فئودال نسبتا ایستا بود.
830,به او یک داروی سحرآمیز دادند.
831,او ایام خود را به خوشی بهسر میبرد.
832,تخصص این رستوران در خوراک چینی است.
833,حالت حزن سرتاسر رمان را فرا گرفته است.
834,حتی یک غاز هم کاسبی نکردیم!
835,حکم مجازات مرد محکوم را به تعویق انداختن
836,به او گفتم که در خارج مراقب باشد و نگذارد کسی داخل شود.
837,او کاملا فاسد بود.
838,حملهی رعدآسای آلمانها به لهستان
839,زاویهی منفرجه
840,حجم این چیزهای چاپ شده، حجم این مطبوعات
841,رویدادی که همهی مسیر زندگی او را عوض کرد.
842,پنیر تند
843,پلاک خونی شاهرگ آئورت را بند آورده است.
844,تند برو به مغازه و برایم قدری شکر بگیر.
845,روزنامهی ما هرگز در مورد امور همگانی تعلل نخواهد کرد.
846,بیشتر حرفهایی که میزد حق بود.
847,چشمانی که از خشم میدرخشیدند
848,برخی از ادعاهایی که به پایان کتاب افزوده شده است.
849,بهای فراوردههای خود را آنقدر بالابردهاند که برای آنها بازار نیست.
850,رفتار تندخویانهی او با مردم
851,به زندانیان خوراک کافی داده نمیشد.
852,زناشوییهای میان نژادی
853,تولید با مصرف هماهنگی ندارد.
854,ذرهای ایمان
855,بیماران پرهیز میکنند و داروهای موثر میخورند.
856,پیشمونهی یک اتومبیل جدید
857,پیشرفت انسان از بدویت به تمدن
858,زن مسعود آلمانی است.
859,او سعی کرد به اعمال خود جامهی میهن دوستی بپوشاند.
860,چیزهای چاپ شده، مطبوعات
861,زیر دریایی اتمی
862,چنین مینماید که از واقعیت آگاه است.
863,او با شقاوت همهی مخالفان خود را نابود میکند.
864,خاطرات را زنده کردن
865,او تظاهر به مذهبی بودن میکند.
866,تشک پرشده از کاه
867,رفتار اشراف منشانهی او
868,تر و خشک کردن پیر مرد نود ساله آسان نبود.
869,او پنج تا ماهی گرفت.
870,جزئیات کار من
871,به او اجازهی ورود ندادند.
872,تا آنجایی که من میتوانستم حدس بزنم آنها زن و شوهر بودند.
873,پرستاران بیمار را برای جراحی آماده کردند.
874,برخی از ماهیها چند پا از داخل آب به بیرون جهش میکنند.
875,حسین چاق بود و دوستانش به همین خاطر او را اذیت میکردند.
876,جنبهی عملی این قضیه
877,تبدیل آهن ورق به بشقاب
878,بیدرنگ پاسخ داد.
879,برنامهی ضربتی برای ساختن جاده
880,پارس کردن، عوعو کردن
881,او با درخواست وام من مخالفت کرد.
882,تکههای برف روی زمین
883,ترتیبی که عملی است
884,ترتیب معمول
885,او برای حفظ خود در برابر تورم، اقدام به خریدن طلا کرد.
886,رویدادهای اخیر گواهی بر ادعای او بود.
887,زهر میتوانست در پنج دقیقه فیلی را بکشد.
888,برخلاف دستور صریح افسر مافوقش
889,او این کار را از روی حسادت کرد.
890,روزهای گرم بهاری که زمین را زنده میکند.
891,زبانهای خارجی بخشی از تحصیلات تربیتی را تشکیل میداد.
892,تبدیل اشک به لبخند
893,برای انجام کاری دشوار کمرهمت بستن
894,حیوانکی زانویش صدمه دید!
895,او را به عنوان زن پسرش قبول نداشت.
896,پوشاک بهاره
897,پیمان عدم تجاوز
898,بومیان بر اربابان بلژیکی خود شوریدند.
899,چرخش به دور ماه
900,بیاعتنا نسبت به وظایفش
901,زن مطلقه شکایت کرد که خرجی دریافت نکرده است.
902,جمهوری خواهان او را فراخواندند که در انتخابات کنگره شرکت کند.
903,چند صباحی کتابخانهی دانشگاه پاتوق او بود.
904,تا موش را دید جیغ زد.
905,زمان زود میگذرد.
906,تخم مرغ نطفه دار
907,تقلید درآوردن او از معلمش مضحک بود.
908,پیراهن آبی بر زیبایی آن دختر میافزود.
909,تردید خود را رها کن و با من بیا.
910,به طور آشکار خسته بود.
911,بیا دربارهی توقعات خود رک و روباز باشیم.
912,تاثیر فزایندهی مقدار کمی از این دوا در هر روز
913,او به تنهایی عمل کرد.
914,او در قتل شریک جرم بود.
915,روش او با اشخاص مسنتر احترامآمیز بود.
916,او بزک کرده به اداره آمد.
917,بورس سهام معیاری برای سنجش وضع اقتصادی است.
918,او با نادرستی ثروتمند شد.
919,پس از بردن انتخابات کوشید که دل رقبای خود را به دست آورد.
920,پول باقیمانده در جیبم
921,پودر صابون
922,تهدیدات تو خالی یک دیکتاتور در حال مرگ
923,روی آوری بخت خوب
924,به تدریج از رتبهای به رتبهی دیگر ارتقا یافت.
925,او سر تصمیم خود سرسختانه ایستاد.
926,جنگ گلهای سرسبد خانوادههای اشرافی انگلیس را به کشتن داد.
927,او راه هم نمیتواند برود چه برسد به اینکه بدود!
928,به خاطر بیماری شنوایی خود را از دست داد.
929,چرخزنی زیبای پرندگان بر فراز دریاچه
930,من تازه رسیده ام.
931,خوب می بینی؟
932,آیا ممکن است به من نشان دهید چطور کار می کند؟
933,می توانم اینجا از اینترنت استفاده کنم؟
934,مجرد هستی؟
935,میتوانید هیچ اردوگاه خوبی توصیه کنید؟
936,می توانم این را بدون نسخه بخرم؟
937,آیا برای کنیا به ویزا نیاز دارم؟
938,آنها برای سه هفته می مانند.
939,تعداد آنها در حال تقلیل است.
940,رفتار غیرانسانی با زندانیان
941,توافق قبل از ازدواج
942,زندگی یعنی کشمکش
943,زندانیان سیاسی اعتصاب غذا کردند.
944,پیشبینیهای هواشناسان درست درآمد.
945,او با اشخاص ناباب رفت و آمد دارد.
946,رفتار آمرانهی برخی افسران پلیس
947,تمبر یاد بود منتشر کردن
948,چمدانها را از طریق مدخل ویژهای در هواپیما میگذارند.
949,او به دو پسر خود کمک کرد که دست به تجارت فرش بزنند.
950,تقسیم بندی علم به فیزیک و شیمی و غیره گاهی گمراه کننده است.
951,جلسهی دادگاه هنوز ادامه دارد.
952,جنگ برایمان مشکلات زیادی به بار آورد.
953,تندر و آذرخش، رعد و برق
954,جسد مومیایی شدهی مصری
955,تهدید کردند که آب را خواهند بست.
956,تفاوت بین ثروت و فقر
957,تصویب یک لایحهی عمده
958,سال پر رویداد
959,به بخشهای مساوی تقسیم کردن
960,تک سواره نظام، حملهی سواره نظام
961,روز شگرگزاری
962,روی آوردن بخت
963,او به انتقادات اعتنایی نکرد و مثل سابق طبق اعتقاد خود عمل کرد.
964,زندانی از زندان گریخت.
965,برای گردهمایی تعیین وقت کردن
966,پیاده روهای باریک
967,جولی در روز دوبار دوش میگیرد.
968,جواد محور اصلی بازار فرش کاشان بود.
969,او با تمام وجود پوزش میخواست.
970,زنی سفید چهره
971,تاریکی را شکافتن
972,بر طبق تخمین من
973,این شکست نمونهی دیگری از بیعرضگی و نابخردی او بود.
974,حروفچین
975,به فرماندهی گماشته شد.
976,پژواک را پس فرستادن
977,او شکایت خود را تکرار کرد.
978,جناح راست حزب
979,بخاطر شکار غیرمجاز زندانی شد.
980,بومیها با دهان باز به اروپاییها نگاه میکردند.
981,زانوهای سست او
982,پلاستیک دارد کمکم رقیب فلز میشوند.
983,سازهی پایا، عامل پایدار
984,پشهها سربازان را دچار مالاریا کردند.
985,پرده را کنار بکش!
986,برجهای عظیم
987,سطح آرام دریاچه
988,تصمیم گرفت غرور را کنار بگذارد و از خواهرش کمک بخواهد.
989,بعدازظهر را صرف تفریح و بازی کرد.
990,توصیهی موافقتآمیز
991,تعصب یکی از پیامدهای کم سوادی است.
992,رادیو باید علاوه بر سرگرم کردن شنونده وی را ارشاد هم بکند.
993,چگونه دانستی؟
994,تابستانها به دهات میرفتیم.
995,ترکیب آلی
996,توپ را آنچنان محکم زد که فراسوی نردهها رفت.
997,بس کن!
998,او خود را رهبر قدر قدرت یک ملت فقیر کرده است.
999,راهی که بزها ایجاد کرده بودند به یک چشمه ختم میشد.
1000,بر حسب اتفاق ملاقات کردن
