language,task,model,example_id,input,prediction,regex_scorer,human_label,judge_label
fa,word_after,gemma-3-1b,978,"در جمله ""بیمار را از بیمارستان مرخص کردن""،کدام کلمه درست بعد از کلمه ""بیمار"" آمده است؟",مرخص کردن.,0,0,
fa,less_letters_length_diff_3plus,SmolLM2-1_7B-Instruct,1598,"کدام کلمه کوتاه‌تر است، ""پژوهشگر"" یا ""جدی""؟","""پژوهشگر"" است.",0,0,
fa,all_words_from_category_1_distractors,Llama-3_2-3B-Instruct,1780,"آیا همه کلمات ""دندانپزشک"", ""افسر"", ""مدیر"", ""دوچرخه"" و ""جوشکار"" نشان‌دهنده مشاغل هستند؟ به «بله» یا «خیر» پاسخ دهید.",خیر,1,1,
fa,ends_with_word,SmolLM2-360M-Instruct,1578,"جمله‌ای بنویسید که آخرین کلمه آن ""قید"" باشد:",جمله‌ای بنویسید که آخرین کلم,0,0,
fa,starts_with_letter,gemma-3-1b,17,"کلمه ای بنویسید که با حرف ""ط"" شروع شود:",طبیعاً.,0,1,
fa,most_associated_word,SmolLM2-1_7B-Instruct,495,"از بین کلمات ""مهره"", ""آرنج"", ""شاید"", ""شکم"" و ""انگشت""، کدام کلمه بیشترین ارتباط را با ""قیدهای احتمال"" دارد؟",مهره در حالی که در حالتی که در ح,0,0,
fa,less_letters,gemma-3-4b,2633,"از بین کلمات ""چوب"" و ""او"" کدام یک حروف کمتری دارد؟",چوب,0,0,
fa,less_letters,Llama-3_2-3B-Instruct,652,"کدام کلمه حروف کمتری دارد، ""خدمات"" یا ""کیلومتر""؟",(خدمات),1,1,
fa,first_alphabetically_same_first_letter,SmolLM2-1_7B-Instruct,2873,"از کلمات ""صادقانه"" و ""صورت""، کدام کلمه به ترتیب حروف الفبا اول می‌آید؟",کدام کلمه به ترتیب حروف الفبا اول م,0,0,
fa,all_words_from_category_0_distractors,SmolLM2-360M-Instruct,2290,"آیا لیست [""پشت"", ""ساعد"", ""شانه"", ""پیشانی"", ""عضله""] فقط شامل بدن انسان است؟ به «بله» یا «خیر» پاسخ دهید.",یک دستیار مفید هستید. کوتاه و در,0,0,
fa,last_letter,gemma-3-4b,1492,"کلمه ""فوراً"" به کدام حرف ختم می‌شود؟",ا,0,0,
fa,last_letter,SmolLM2-1_7B-Instruct,1341,"کلمه ""مسی"" به کدام حرف ختم می‌شود؟","کلمه ""مسی"" به حرف ""م"" ختم می‌شود.",0,0,
fa,first_word,SmolLM2-1_7B-Instruct,735,"اولین کلمهٔ جملهٔ ""رمانی را به عرش رساندن"" چیست؟","""رمانی را به عرش رساندن"" به عنوان یک",0,0,
fa,all_words_from_category_1_distractors,Qwen2_5-1_5B-Instruct,2025,"آیا لیست [""مرگ"", ""تولد"", ""تجربه"", ""پسوند"", ""زندگی""] فقط شامل زندگی است؟ به «بله» یا «خیر» پاسخ دهید.",خیر,1,1,
fa,any_words_from_category_4_distractors,SmolLM2-360M-Instruct,214,"آیا هیچ یک از کلمات ""چکش"", ""گیتار"", ""شیر"", ""بیرون"" و ""دخترخاله"" از نوع خانواده هستند؟ با «بله» یا «خیر» پاسخ دهید.",یک دستیار مفید هستید. کوتاه و در,0,0,
fa,sentence_not_containing,SmolLM2-1_7B-Instruct,1110,"یک جمله بدون استفاده از کلمه ""صادقانه"" بنویس","می‌خواهیم بدون استفاده از کلمه """,1,0,
fa,first_alphabetically_same_first_letter,Llama-3_2-3B-Instruct,1376,"به ترتیب حروف الفبا، کدام کلمه اول می‌آید، ""خردلی"" یا ""خرداد""؟",خرداد,1,1,
fa,more_letters_length_diff_1,salamandra-2b-instruct,2853,"از بین کلمات ""خوک"" و ""مرکز"" کدام یک حروف بیشتری دارد؟",ustamata,0,0,
fa,most_associated_word,salamandra-2b-instruct,1518,"از بین کلمات ""خواندن"", ""آمدن"", ""رفتن"", ""برگشتن"" و ""چرخیدن"" کدام کلمه بیشترین ارتباط را با کلمه ""افعال فعالیت"" دارد؟",ustamata,0,0,
fa,least_associated_word,Qwen2_5-1_5B-Instruct,2275,"از بین کلمات زیر، کلمه‌ای را انتخاب کنید که کمترین ارتباط را با کلمه ""سازها"" دارد - ""مصدر"", ""ساکسوفون"", ""باتری"", ""دف"", ""طبل""","""دف""",0,0,
fa,bigger_number,gemma-3-4b,2352,"از بین اعداد 260 و 553، عدد بزرگتر را بنویسید:",553,1,1,
fa,less_letters,gemma-3-1b,2720,"از بین کلمات ""که"" و ""تنها"" کدام یک حروف کمتری دارد؟","""تنها""",0,0,
fa,first_alphabetically_different_first_letter,SmolLM2-360M-Instruct,2332,"از کلمات ""زرشکی"" و ""فلفل""، کدام کلمه به ترتیب حروف الفبا اول می‌آید؟",یک دستیار مفید هستید. کوتاه و در,0,0,
fa,more_letters_length_diff_1,gemma-3-1b,1165,"کدام کلمه حروف بیشتری دارد، ""دریاچه"" یا ""فروشنده""؟","""دریاچه""",0,0,
fa,ends_with_word,ZharfaOpen-0309,206,"جمله‌ای بنویسید که با کلمه ""انگشت"" تمام شود:",انگشتان به عنوان ابزار اصلی برا,0,0,
fa,most_associated_word,ZharfaOpen-0309,2094,"از بین کلمات زیر، کلمه‌ای را که بیشترین ارتباط را با کلمه ""جامعه"" دارد انتخاب کنید - ""شانه"", ""تاندون"", ""سینه"", ""دولت"", ""ساق""","کلمه ""جامعه"" بیشترین ارتباط را ب",0,0,
fa,starts_with_letter,SmolLM2-1_7B-Instruct,56,"کلمه ای بنویسید که حرف اول آن ""ل"" باشد:",لیگینیت در زبان انگلیسی است. این ا,0,0,
fa,sentence_not_containing,salamandra-2b-instruct,2011,"یک جمله بنویس که کلمه ""سریع"" را نداشته باشد",ustamata,0,0,
fa,word_after,Llama-3_2-3B-Instruct,2523,"در جملهٔ «برای عبرت دیگران شاگردی را سخت تنبیه کردن»، کدام کلمه بلافاصله بعد از «دیگران» می‌آید؟",(شاگردی),1,1,
fa,first_alphabetically_consecutive_first_letter,gemma-3-4b,1000,"به ترتیب حروف الفبا، کدام یک از کلمات ""خون"" و ""دفتر"" اول می‌آید؟",دفتر,0,0,
fa,more_letters,Llama-3_2-3B-Instruct,2015,"از بین کلمات ""بشریت"" و ""گاهی"" کدام یک حروف بیشتری دارد؟",(بشریت) 8 حروف دارد و (گاهی) 5 حروف دارد.,0,0,
fa,less_letters_length_diff_1,Llama-3_1-8B-Instruct,2710,"از بین کلمات ""پرداخت"" و ""طوفان"" کدام یک حروف کمتری دارد؟","in ""طوفان"" 5 حرف دارد و در ""پرداخت"" 7 حرف وجود دارد. بنابراین ""طوفان"" حروف کم",0,1,
fa,rhyming_word,EuroLLM-1_7B-Instruct,1892,"کدام‌ یک با کلمه ""خودکار"" هم قافیه است، ""زندگی‌نامه‌ای"" یا ""آشکار"" ؟","بیشتر کدام‌ یک با کلمه ""خودکار"" هم قافیه است، ""زند",0,0,
fa,last_letter,Llama-3_2-3B-Instruct,473,"آخرین حرف کلمه ""حال"" چیست؟",(ال),0,0,
fa,rhyming_word,gemma-3-1b,2482,"از بین کلمات ""ابرقهرمانی"" و ""ماسه""، کدام یک با ""منحنی"" هم قافیه است؟",ابرقهرمانی,1,1,
fa,homophones,Llama-3_1-8B-Instruct,1000,"کدام کلمه هم آوای ""داد""، ""قضا"" یا ""غذا"" است؟","in ""غذا"" و ""قضا"" و ""داد"" هم آوا هستند.",0,0,
fa,rhyming_word,salamandra-2b-instruct,1383,"کدام‌ یک با کلمه ""کشتی"" هم قافیه است، ""حتی"" یا ""پزشک"" ؟",ustamata,0,0,
fa,last_word,Qwen2_5-1_5B-Instruct,726,"آخرین کلمهٔ جملهٔ ""امیرعطا"" چیست؟","آخرین کلمهٔ جملهٔ ""امیرعطا"" یکی از کلمات فارسی است",0,0,
fa,least_associated_word,gemma-3-1b,1512,"از بین کلمات ""نانوایی"", ""ترمینال"", "" آخرین"", ""مدرسه"" و ""زندان"" کدام کلمه کمترین ارتباط را با کلمه ""محل‌های کار"" دارد؟",نانوایی,0,0,
fa,less_letters,Qwen2_5-1_5B-Instruct,2471,"از بین کلمات ""اگر"" و ""خارج"" کدام یک حروف کمتری دارد؟","""خارج"" حرف کمتری از ""اگر"" است.",0,0,
fa,all_words_from_category_0_distractors,Qwen2_5-3B-Instruct,2117,"آیا لیست [""کارخانه"", ""داروخانه"", ""مغازه"", ""اورژانس"", ""دانشگاه""] فقط شامل محل‌های کار است؟ به «بله» یا «خیر» پاسخ دهید.",خیر,0,0,
fa,sentence_containing,EuroLLM-1_7B-Instruct,2206,"یک جمله بنویس که کلمه ""خودکار"" را در بر داشته باشد","بیشتری که کلمه ""خودکار"" را در بر داشته باشد، یک",1,1,
fa,last_word,EuroLLM-1_7B-Instruct,2284,"آخرین کلمهٔ جملهٔ ""با چکش میخ را به دیوار کوبیدم"" را بنویس","آخرین کلمهٔ جملهٔ ""با چکش میخ را به دیوار کوب",0,0,
fa,word_not_containing,gemma-3-1b,25,"کلمه‌ای بنویس که شامل حرف «ن» نباشد:
",نور,0,0,
fa,bigger_number,SmolLM2-1_7B-Instruct,1657,"از بین اعداد 137 و 190، کدام بزرگتر است؟",137,0,0,
fa,first_alphabetically_consecutive_first_letter,Qwen2_5-1_5B-Instruct,2255,"از کلمات ""صندلی"" و ""شورت""، کدام کلمه به ترتیب حروف الفبا اول می‌آید؟",صندلی.,0,0,
fa,starts_with_letter,Qwen2_5-1_5B-Instruct,39,"کلمه ای بنویسید که حرف اول آن ""ج"" باشد:",جواد,1,1,
fa,homophones,SmolLM2-1_7B-Instruct,192,"کدام کلمه صدایش شبیه کلمه ""کشت""، ""ابارت"" یا ""عبارت"" است؟","کلمه ""کشت""، ""ابارت""، و ""عبارت""",0,0,
fa,any_words_from_category_5_distractors,Llama-3_2-3B-Instruct,2904,"آیا لیست [""ملت"", ""جامعه"", ""بشکه"", ""عضله"", ""گلو""] شامل هیچ پوشاک است؟ با «بله» یا «خیر» پاسخ دهید",(خیر),1,1,
fa,word_after,SmolLM2-1_7B-Instruct,1909,"در جمله ""او در درگاه توقف کرد تا تالار را برانداز کند""، کدام کلمه بلافاصله پس از کلمه ""درگاه"" آمده است؟","بلافاصله پس از کلمه ""درگاه"" آم",0,0,
fa,all_words_from_category_2_distractors,ZharfaOpen-0309,1423,"آیا همه کلمات ""بدنسازی"", ""پیری"", ""تولد"", ""حیات"" و ""پشم"" نشان‌دهنده زندگی هستند؟ به «بله» یا «خیر» پاسخ دهید.",بله.,0,0,
fa,ends_with_word,Llama-3_1-8B-Instruct,1756,"جمله‌ای بنویسید که آخرین کلمه آن ""علاقه‌مند"" باشد:",من به یادگیری و رشد هر روز بیشتر علاقه‌مند.,1,1,
fa,all_words_from_category_2_distractors,Llama-3_1-8B-Instruct,211,"آیا همه کلمات ""نظام"", ""ذرت"", ""مردم"", ""خیار"" و ""گروه"" از نوع جامعه هستند؟ به «بله» یا «خیر» پاسخ دهید.",inخیر,1,1,
fa,more_letters_length_diff_3plus,gemma-3-4b,1904,"کدام کلمه حروف بیشتری دارد، ""مغز"" یا ""قورباغه""؟",قورباغه,1,1,
fa,first_alphabetically_far_first_letter,Qwen2_5-1_5B-Instruct,1088,"به ترتیب حروف الفبا، کدام کلمه اول می‌آید، ""شور"" یا ""یوگا""؟","""یوگا""",0,0,
fa,first_alphabetically_consecutive_first_letter,Qwen2_5-3B-Instruct,2379,"از کلمات ""شانه"" و ""صندوقدار""، کدام کلمه به ترتیب حروف الفبا اول می‌آید؟",صندوقدار,0,0,
fa,first_alphabetically,gemma-3-4b,2335,"از کلمات ""گران"" و ""قبل""، کدام کلمه به ترتیب حروف الفبا اول می‌آید؟",قبل,1,1,
fa,rhyming_word_orthographically_similar,Qwen2_5-3B-Instruct,84,"کدام کلمه با کلمه ""رنده"" هم قافیه است، ""مو"" یا ""نویسنده"" ؟",مو,0,0,
fa,first_alphabetically,EuroLLM-1_7B-Instruct,165,"به ترتیب حروف الفبا، کدام یک از کلمات ""مدیر"" و ""انحصار"" اول می‌آید؟","به ترتیب حروف الفبا، کدام یک از کلمات ""مدیر"" و ""انحصار""",0,0,
fa,homophones,gemma-3-1b,431,"کدام کلمه صدایش شبیه کلمه ""غالی""، ""قالی"" یا ""قالیچه"" است؟",غالی,1,0,
fa,least_associated_word,Llama-3_2-3B-Instruct,785,"از بین کلمات ""گرم"", ""یخچال"", ""بخاری"", ""مایکروویو"" و ""فریزر""، کدام کلمه کمترین ارتباط را با ""لوازم خانگی"" دارد؟",(یخچال),0,0,
fa,less_letters,SmolLM2-1_7B-Instruct,995,"کدام کلمه حروف کمتری دارد، ""مشخص"" یا ""روی""؟","کلمه حروف کمتری دارد، ""مشخص",0,0,
fa,less_letters_length_diff_3plus,EuroLLM-1_7B-Instruct,2197,"از بین کلمات ""بولینگ"" و ""گاز"" کدام یک حروف کمتری دارد؟","از بین کلمات ""بولینگ"" و ""گاز"" کدام حروف کمتری دارد؟",0,0,
fa,word_before,ZharfaOpen-0309,1320,"در جمله ""او را به مدرسهی ویژه فرستادند تا سلیقه و رفتارش پیراسته شود""، کدام کلمه بلافاصله قبل از کلمه ""به"" آمده است؟","کلمه قبل از ""به"" در این جمله ""او""",0,0,
fa,all_words_from_category,ZharfaOpen-0309,2775,"آیا لیست [""ضمیر"", ""بازار"", ""معلوم"", ""قید"", ""اسم""] فقط شامل دسته‌های دستوری است؟ به «بله» یا «خیر» پاسخ دهید.",خیر.,1,1,
fa,starts_with_letter,gemma-3-1b,25,"کلمه ای بنویسید که با حرف ""ن"" شروع شود:",نفس,1,1,
fa,any_words_from_category_4_distractors,EuroLLM-1_7B-Instruct,2553,"آیا لیست [""اتو"", ""سالمند"", ""استودیو"", ""نظام"", ""صفت""] شامل هیچ دسته‌های دستوری است؟ با «بله» یا «خیر» پاسخ دهید","با ""بله"" یا ""خیر"" پاسخ دهید، یک دستوری است ک",0,0,
fa,last_letter,SmolLM2-360M-Instruct,2570,"آخرین حرف کلمه ""شهریور"" را بنویسید","آخرین حرف کلمه ""شهریور"" را بنو",0,0,
fa,first_alphabetically_same_first_letter,Llama-3_1-8B-Instruct,2732,"از کلمات ""بین"" و ""بینی""، کدام کلمه به ترتیب حروف الفبا اول می‌آید؟",in بین و biny بینی,0,0,
fa,bigger_number,salamandra-2b-instruct,653,"کدام عدد بزرگتر است، 63 یا 260؟",ustamata,0,0,
fa,all_words_from_category_1_distractors,Llama-3_1-8B-Instruct,1836,"آیا همه کلمات ""لباس"", ""پیراهن"", ""جودو"", ""شلوارک"" و ""سوتین"" نشان‌دهنده پوشاک هستند؟ به «بله» یا «خیر» پاسخ دهید.",بله,0,0,
fa,starts_with_letter,salamandra-2b-instruct,84,"کلمه ای بنویسید که با ""ظ"" شروع شود:",آزقي جنسی به طور ص,0,0,
fa,smaller_number,gemma-3-1b,1593,"از بین اعداد 274 و 565، کدام کوچکتر است؟",274,1,1,
fa,first_alphabetically_consecutive_first_letter,Qwen2_5-3B-Instruct,732,"به ترتیب حروف الفبا، کدام یک از کلمات ""نانوا"" و ""هویت"" اول می‌آید؟",هویت,0,0,
fa,last_letter,Qwen2_5-3B-Instruct,1812,"کلمه ""بیستم"" به کدام حرف ختم می‌شود؟","بیستم به کلمه ""بیست"" ختم می‌شود.",0,0,
fa,all_words_from_category,gemma-3-1b,349,"آیا همه کلمات ""خیار"", ""کاهو"", ""چغندر"", ""پیاز"" و ""کلم"" از نوع سبزیجات هستند؟ به «بله» یا «خیر» پاسخ دهید.",بله.,1,1,
fa,homophones,EuroLLM-1_7B-Instruct,914,"از بین دو کلمه ""لیمو	"" و ""فاتر""، کدام یک صدایش بیشتر شبیه ""فاطر"" است؟","از بین دو کلمه ""لیمو	"" و ""فاتر""، کدام یک صدایش ب",0,0,
fa,all_words_from_category,Qwen2_5-3B-Instruct,867,"آیا همه کلمات ""بانو"", ""سالمند"", ""پسر"", ""فرد"" و ""کودک"" از نوع مردم هستند؟ به «بله» یا «خیر» پاسخ دهید.",خیر,0,0,
fa,rhyming_word,SmolLM2-1_7B-Instruct,486,"کدام کلمه با کلمه ""جدی"" هم قافیه است، ""کاراته"" یا ""بعدی"" ؟","""جدی"" و ""کاراته"" هم قافیه است. این",0,0,
fa,all_words_from_category_1_distractors,SmolLM2-1_7B-Instruct,2704,"آیا لیست [""عدد"", ""حجم"", ""جفت"", ""روز"", ""گرم""] فقط شامل واحدهای اندازه‌گیری است؟ به «بله» یا «خیر» پاسخ دهید.",بله.,0,0,
fa,word_before,ZharfaOpen-0309,1905,"در جمله ""او با دزدان و آدمکشان محشور شد""، کدام کلمه بلافاصله قبل از کلمه ""محشور"" آمده است؟","کلمه ""با""",0,0,
fa,any_words_from_category_5_distractors,Qwen2_5-3B-Instruct,914,"آیا هیچ یک از کلمات ""گیتار"", ""موتور"", ""شاهین"", ""شهرداری"" و ""فوتسال"" از نوع بلایای طبیعی هستند؟ با «بله» یا «خیر» پاسخ دهید.",خیر,1,1,
fa,more_letters,SmolLM2-360M-Instruct,980,"کدام کلمه طولانی‌تر است، ""لغزیدن"" یا ""قنادی""؟","لغزیدن، در دستیار مفید هستید.",0,0,
fa,any_words_from_category,ZharfaOpen-0309,2371,"آیا لیست [""آتش‌سوزی"", ""پژوهشگاه"", ""مکان"", ""خانوادگی"", ""قهوه‌ای""] شامل هیچ دسته‌های دستوری است؟ با «بله» یا «خیر» پاسخ دهید",خیر.,1,1,
fa,word_before,SmolLM2-1_7B-Instruct,2737,"در جمله ""به درخواستنامههای عضویت رسیدگی کردن"" کدام کلمه درست قبل از ""کردن"" آمده است؟",به درخواستنامههای عضویت رسیدگی,0,0,
fa,last_word,salamandra-2b-instruct,2510,"آخرین کلمهٔ جملهٔ ""او سالیان درازی را به خاطر داشت"" را بنویس",ustamata,0,0,
fa,all_words_from_category_0_distractors,gemma-3-4b,1785,"آیا همه کلمات ""ابریشم"", ""آلومینیوم"", ""سنگ"", ""گاز"" و ""سیمان"" نشان‌دهنده مواد هستند؟ به «بله» یا «خیر» پاسخ دهید.",بله,1,1,
fa,ends_with_word,EuroLLM-1_7B-Instruct,1275,"جمله‌ای بنویسید که آخرین کلمه آن ""صنعت"" باشد:",شما یک دستیار مفید هستید. کوتاه و درست پاسخ دهی,0,0,
fa,smaller_number,SmolLM2-360M-Instruct,912,"کدام عدد کوچکتر است، 300 یا 197؟",یک دستیار مفید هستید. کوتاه و در,0,0,
fa,all_words_from_category_0_distractors,Llama-3_2-3B-Instruct,721,"آیا همه کلمات ""ساحل"", ""دشت"", ""طبیعت"", ""تالاب"" و ""دره"" از نوع جغرافیا هستند؟ به «بله» یا «خیر» پاسخ دهید.",(خیر),0,0,
fa,rhyming_word_orthographically_similar,Qwen2_5-1_5B-Instruct,1017,"کدام‌ یک با کلمه ""فاصله"" هم قافیه است، ""بیشتر"" یا ""جمله"" ؟","""فاصله"" هم قافیه است.",0,0,
fa,any_words_from_category_3_distractors,gemma-3-4b,2504,"آیا لیست [""جنتلمن"", ""آلومینیوم"", ""جفت"", ""کتان"", ""خط""] شامل هیچ مواد است؟ با «بله» یا «خیر» پاسخ دهید",بله,1,1,
fa,all_words_from_category,gemma-3-4b,1923,"آیا همه کلمات ""پدر"", ""دایی"", ""دخترعمو"", ""خاله"" و ""دخترعمه"" نشان‌دهنده خانواده هستند؟ به «بله» یا «خیر» پاسخ دهید.",بله,1,1,
fa,word_after,gemma-3-4b,1939,"در جمله ""با بلند کردن دست رای دادن""، کدام کلمه بلافاصله پس از کلمه ""کردن"" آمده است؟",رای دادن,0,0,
fa,sentence_containing,Qwen2_5-1_5B-Instruct,2364,"یک جمله بنویس که کلمه ""کشیدن"" را در بر داشته باشد","""کشیدن"" یکی از کلمات کاربردی است که در موارد مختلف استفاده م",1,1,
fa,first_word,EuroLLM-1_7B-Instruct,1954,"در جملهٔ ""جسد مومیایی شدهی مصری""، اولین کلمه چیست؟","در جملهٔ ""جسد مومیایی شدهی مصری""، اولین کلمه چ",0,0,
fa,last_letter,ZharfaOpen-0309,1844,"کلمه ""مردن"" به کدام حرف ختم می‌شود؟","کلمه ""مردن"" به حرف ""ن"" ختم می‌شود.",0,1,
fa,ends_with_word,Qwen2_5-3B-Instruct,2122,"جمله‌ای بنویسید که با ""شهروند"" تمام شود:",شهروند این کشور است.,0,0,
fa,ends_with_word,gemma-3-1b,813,"جمله‌ای بنویسید که با کلمه ""روسری"" تمام شود:",روسری به یک وسیله پوششی است که برای محافظت از گردن و سر استفاده می‌شود.,0,0,
fa,word_not_containing,Llama-3_1-8B-Instruct,44,"کلمه‌ای بنویس بدون استفاده از حرف «ر»:
","کلمه ""موسسه"" بدون استفاده از حرف ""ر"" است.",0,1,
fa,rhyming_word,Qwen2_5-3B-Instruct,2383,"از بین کلمات ""حتی"" و ""پزشک""، کدام یک با ""کشتی"" هم قافیه است؟",حتی,1,0,
fa,all_words_from_category,Llama-3_2-3B-Instruct,1035,"آیا همه کلمات ""درام"", ""جنایی"", ""هیجان‌انگیز"", ""مستند"" و ""انیمیشن"" نشان‌دهنده ژانرهای فیلم هستند؟ به «بله» یا «خیر» پاسخ دهید.",خیر,0,0,
fa,any_words_from_category_3_distractors,Qwen2_5-3B-Instruct,2439,"آیا لیست [""اجتماع"", ""آتش‌سوزی"", ""اورژانس"", ""ذرت"", ""زلزله""] شامل هیچ بلایای طبیعی است؟ با «بله» یا «خیر» پاسخ دهید",خیر,0,0,
fa,first_alphabetically_same_first_letter,Qwen2_5-1_5B-Instruct,2834,"از کلمات ""صدم"" و ""صفر""، کدام کلمه به ترتیب حروف الفبا اول می‌آید؟","""صدم"" به ترتیب حروف الفبا اول می‌آید.",0,1,
fa,word_containing,gemma-3-1b,45,کلمه‌ای بنویس با استفاده از حرف «ز»,زهر.,1,1,
fa,word_not_containing,SmolLM2-1_7B-Instruct,8,"کلمه‌ای بنویس که شامل حرف «خ» نباشد:
",کلمه‌ای بنویس که شامل حرف «خ»,0,0,
fa,more_letters_length_diff_1,Llama-3_2-3B-Instruct,1059,"کدام کلمه حروف بیشتری دارد، ""یازده"" یا ""گمرک""؟",(یازده),1,1,
fa,homophones,SmolLM2-360M-Instruct,935,"از بین دو کلمه ""سور"" و ""صدا""، کدام یک صدایش بیشتر شبیه ""صور"" است؟",یک دستیار مفید هستید. کوتاه و در,0,0,
fa,rhyming_word,gemma-3-4b,2955,"از بین کلمات ""یازده"" و ""معمولی""، کدام یک با ""سیزده"" هم قافیه است؟",معمولی,0,0,
fa,first_alphabetically_far_first_letter,ZharfaOpen-0309,2068,"از کلمات ""وزنه‌"" و ""طبق""، کدام کلمه به ترتیب حروف الفبا اول می‌آید؟","کلمه ""وزنه‌"" به ترتیب حروف الفبا ا",0,0,
fa,most_associated_word,SmolLM2-360M-Instruct,2829,"از بین کلمات زیر، کلمه‌ای را که بیشترین ارتباط را با کلمه ""لوازم خانگی"" دارد انتخاب کنید - ""چشیدن"", ""فر"", ""شنیدن"", ""لمسیدن"", ""لرزیدن""",یک دستیار مفید هستید. کوتاه و در,0,0,
fa,any_words_from_category,Llama-3_2-3B-Instruct,1649,"آیا هیچ یک از کلمات ""کارخانه"", ""انگشت"", ""بلند"", ""کیلومتر"" و ""رسوم"" نشان دهنده ورزش هستند؟ با «بله» یا «خیر» پاسخ دهید.",(خیر),1,1,
fa,first_letter,Llama-3_2-3B-Instruct,2803,"حرف اول کلمه ""وزنه‌"" را بنویسید",و,1,1,
fa,starts_with_letter,gemma-3-4b,41,"کلمه ای بنویسید که حرف اول آن ""خ"" باشد:",خوشحال,1,1,
fa,word_after,ZharfaOpen-0309,348,"در جمله ""خانه دار هستم""،کدام کلمه درست بعد از کلمه ""دار"" آمده است؟","کلمه درست بعد از کلمه ""دار"" در ج",0,0,
fa,first_alphabetically_different_first_letter,SmolLM2-1_7B-Instruct,1886,"به ترتیب حروف الفبا، کدام کلمه اول می‌آید، ""دندانپزشک"" یا ""سازمان""؟","""دندانپزشک"" است.",0,0,
fa,sentence_not_containing,Llama-3_2-3B-Instruct,114,"یک جمله بنویس که شامل کلمه ""امضا"" نباشد",کلمه امضا در این جمله استفاده شده است.,0,0,
fa,first_alphabetically_far_first_letter,EuroLLM-1_7B-Instruct,418,"به ترتیب حروف الفبا، کدام یک از کلمات ""قرمز"" و ""توزیع"" اول می‌آید؟","به ترتیب حروف الفبا، کدام یک از کلمات ""قرمز"" و ""توزیع",0,0,
fa,sentence_containing,gemma-3-1b,547,"یک جمله بنویس که شامل کلمه ""چوگان"" باشد","چوگان، یک موجود افسانه‌ای در سرزمین‌های دوردست است.",1,1,
fa,all_words_from_category,SmolLM2-1_7B-Instruct,2393,"آیا لیست [""پیلاتس"", ""هندبال"", ""بدنسازی"", ""ماراتن"", ""کونگ‌فو""] فقط شامل ورزش است؟ به «بله» یا «خیر» پاسخ دهید.",بله.,1,1,
fa,more_letters,Llama-3_1-8B-Instruct,2319,"از بین کلمات ""کراس‌فیت"" و ""گلو"" کدام یک حروف بیشتری دارد؟","کلمه ""کراس‌فیت"" حروف بیشتری دارد.",0,1,
fa,starts_with_word,SmolLM2-1_7B-Instruct,171,"جمله‌ای بنویسید که با ""به"" شروع شود",به خوبی شما دربارهٔ خوبی باشید.,1,1,
fa,more_letters,salamandra-2b-instruct,1293,"کدام کلمه حروف بیشتری دارد، ""همکاری"" یا ""ماسه""؟",نقطه الزمین,0,0,
fa,first_alphabetically,SmolLM2-360M-Instruct,1927,"به ترتیب حروف الفبا، کدام کلمه اول می‌آید، ""قایق"" یا ""آرام""؟","به ترتیب حروف الفبا، کدام کلمه ا",0,0,
fa,smaller_number,EuroLLM-1_7B-Instruct,1940,"از بین اعداد 66 و 547، کدام کوچکتر است؟","از بین اعداد 66 و 547، کدام کوچکتر است؟ 
از بین",0,0,
fa,sentence_containing,salamandra-2b-instruct,2359,"یک جمله بنویس که کلمه ""گونه"" را در بر داشته باشد",ustamata,0,0,
fa,least_associated_word,gemma-3-4b,1285,"از بین کلمات ""انحصار"", ""همیشه"", ""پول"", ""تقاضا"" و ""شرکت"" کدام کلمه کمترین ارتباط را با کلمه ""اقتصاد"" دارد؟",همیشه,1,1,
fa,starts_with_word,Llama-3_2-3B-Instruct,171,"جمله‌ای بنویسید که با ""به"" شروع شود","(به عنوان یک دستیار مفید، می‌توانم برای شما خدمات مختلفی ارائه دهم.)",1,1,
fa,first_alphabetically_consecutive_first_letter,Llama-3_1-8B-Instruct,2312,"از کلمات ""رنده"" و ""زیرا""، کدام کلمه به ترتیب حروف الفبا اول می‌آید؟","in ""رنده"" و ""زیرا""، ""رنده"" به ترتیب حروف الفبا اول می‌آید.",0,0,
fa,sentence_containing,EuroLLM-1_7B-Instruct,2130,"یک جمله بنویس که کلمه ""رفتن"" را در بر داشته باشد",شما یک دستیار مفید هستید. کوتاه و درست پاسخ دهی,0,0,
fa,first_alphabetically,Llama-3_2-3B-Instruct,1206,"به ترتیب حروف الفبا، کدام کلمه اول می‌آید، ""مهربانانه"" یا ""عمومی""؟","""عمومی""",1,1,
fa,any_words_from_category,gemma-3-1b,1905,"آیا هیچ یک از کلمات ""ران"", ""جزیره"", ""نقطه"", ""پذیرایی"" و ""پوست"" نشان دهنده خانه هستند؟ با «بله» یا «خیر» پاسخ دهید.",خیر,0,0,
fa,sentence_containing,Llama-3_1-8B-Instruct,2718,"یک جمله بنویس که کلمه ""معمایی"" را در بر داشته باشد",معمایی بودن یک پدیده یا رویداد به معنای عدم توضیح یا توجیه منطقی و علمی آن است.,1,1,
fa,all_words_from_category_1_distractors,Qwen2_5-3B-Instruct,961,"آیا همه کلمات ""مفصل"", ""عصب"", ""تجارت"", ""مچ"" و ""آرنج"" از نوع بدن انسان هستند؟ به «بله» یا «خیر» پاسخ دهید.",خیر,1,1,
