language,task,model,example_id,input,prediction,regex_scorer,human_label
en,all_words_from_category_2_distractors,EuroLLM-1_7B-Instruct,1017,"Do the words ""chicken"", ""couch"", ""jacket"", ""skirt"", and ""dress"" all represent items of clothing? Answer either ""yes"" or ""no"".","Yes, the words ""chicken"", ""couch"", ""jacket"", ""skirt"", and ""dress"" all represent items of clothing.",0,0
en,first_alphabetically_different_first_letter,ZharfaOpen-0309,2568,"Of the words ""photography"" and ""surf"", which word comes first alphabetically?","""photography"" comes first alphabetically.",1,1
en,all_words_from_category_2_distractors,salamandra-2b-instruct,1442,"Do the words ""goat"", ""mouse"", ""tractor"", ""duck"", and ""apple"" all represent animals? Answer either ""yes"" or ""no"".",ustamata,0,0
en,bigger_number,salamandra-2b-instruct,2817,"From the numbers 666 and 919, write the bigger number:",The larger of these two numbers is 738.,0,0
en,ends_with_letter,gemma-3-1b,7,"Write a word that ends with the letter ""g"":",Friend.,0,0
en,first_alphabetically_same_first_letter,ZharfaOpen-0309,2175,"Of the words ""other"" and ""once"", which word comes first alphabetically?","The word ""other"" comes first alphabetically.",0,0
en,sentence_not_containing,gemma-3-1b,1727,"Write a sentence without using the word ""friend"":",I appreciate your support.,1,1
en,word_containing,gemma-3-4b,75,"Write a word containing the letter ""w"":",Window,1,1
en,more_letters_length_diff_1,salamandra-2b-instruct,2426,"Of the words ""plastic"" and ""match"" which one has more letters?",ustamata,0,0
en,word_containing,Llama-3_2-3B-Instruct,49,"Write a word using the letter ""w"":",Water,1,1
en,more_letters_length_diff_3plus,gemma-3-1b,999,"Which word has more letters, ""us"" or ""white""?","“White” has more letters. It has 5 letters. 

“Us” has 4 letters.",0,1
en,first_alphabetically_far_first_letter,SmolLM2-360M-Instruct,224,"In an alphabetical order, which of the words ""queen"" and ""chocolate"" comes first?","""Chocolate"" comes first in an alphabetical order.",1,1
en,all_words_from_category_1_distractors,SmolLM2-1_7B-Instruct,735,"Are all the words ""chair"", ""chicken"", ""cow"", ""goat"", and ""mouse"" types of animals? Answer either ""yes"" or ""no"".",at,0,0
en,any_words_from_category_5_distractors,salamandra-2b-instruct,625,"Are any of the words ""pineapple"", ""cat"", ""dog"", ""van"", and ""melon"" types of furniture? Answer either ""yes"" or ""no"".",ustamata,0,0
en,first_alphabetically_different_first_letter,EuroLLM-1_7B-Instruct,1985,"In an alphabetical order, which word comes first, ""cartoon"" or ""worker""?","In an alphabetical order, ""cartoon"" comes first.",1,1
en,word_before,Llama-3_2-3B-Instruct,997,"In the sentence ""The computer will calculate the value of the variable"", which word comes right before the word ""of""?",(The),0,1
en,last_letter,salamandra-2b-instruct,2747,"Write the last letter of the word ""above"":","Above is correct,",0,0
en,least_associated_word,EuroLLM-1_7B-Instruct,1870,"What is the word least related to the word ""clothes"" from the words ""bed"", ""socks"", ""shorts"", ""shirt"", and ""jacket""?","The word least related to the word ""clothes"" from the words ""bed"", ""socks"", ""shorts"", ""shirt"", and ""jack",0,0
en,ends_with_letter,gemma-3-4b,62,"Write a word ending with ""r"":",Flower,1,1
en,less_letters_length_diff_1,salamandra-2b-instruct,1321,"Which word is shorter, ""hear"" or ""to""?","The word that is shorter is ""hear"".",0,0
en,least_associated_word,Llama-3_2-3B-Instruct,2149,"Of the following words, choose the word least associated with the word ""animals"" - ""cow"", ""cat"", ""goat"", ""socks"", ""fish"":",(socks),1,1
en,less_letters,SmolLM2-1_7B-Instruct,2570,"Of the words ""at"" and ""bank"" which one has fewer letters?","""at"" has fewer letters than ""bank"".",1,1
en,sentence_containing,EuroLLM-1_7B-Instruct,1272,"Write a sentence using the word ""someone"":",Someone is a person who is not a robot.,1,1
en,bigger_number,gemma-3-1b,2130,"From the numbers 414 and 782, write the bigger number:",782,1,1
en,word_not_containing,SmolLM2-1_7B-Instruct,54,"Write a word not containing the letter ""b"":","""A""",1,0
en,starts_with_word,salamandra-2b-instruct,1990,"Write a sentence whose first word is ""stopping"":","ustamata,                                                                                   
stopped traffic at the intersection.",0,0
en,last_word,gemma-3-4b,52,"What is the last word of the sentence ""I might eat deep fried muffins""?",Muffins,1,1
en,any_words_from_category,gemma-3-4b,1218,"Do any of the words ""bus"", ""sofa"", ""watermelon"", ""truck"", and ""rabbit"" represent furniture? Answer either ""yes"" or ""no"".",No,0,0
en,word_before,Qwen2_5-3B-Instruct,1951,"In the sentence ""Jessica loaded boxes under the wagon"", which word immediately precedes the word ""boxes""?","suggested
wagon",0,0
en,first_alphabetically_different_first_letter,Qwen2_5-1_5B-Instruct,2444,"Of the words ""page"" and ""exercise"", which word comes first alphabetically?",^Page$ is the correct answer as it comes before ^Exercise$.,0,0
en,all_words_from_category_1_distractors,gemma-3-1b,445,"Are all the words ""motorcycle"", ""strawberry"", ""lemon"", ""mango"", and ""pineapple"" types of fruit? Answer either ""yes"" or ""no"".",no,1,1
en,all_words_from_category_1_distractors,EuroLLM-1_7B-Instruct,2873,"Does the list [""chicken"", ""cat"", ""pear"", ""fish"", ""pig""] contain only animals? Answer either ""yes"" or ""no"".","Yes, the list [""chicken"", ""cat"", ""pear"", ""fish"", ""pig""] contains only animals.",0,0
en,first_alphabetically_different_first_letter,Qwen2_5-3B-Instruct,948,"In an alphabetical order, which of the words ""board"" and ""horse"" comes first?","sord comes before horse in alphabetical order, so ""board"" comes after ""horse"".",0,0
en,less_letters,Llama-3_2-3B-Instruct,2488,"Of the words ""singer"" and ""wife"" which one has fewer letters?","(The word ""singer"" has 5 letters, and the word ""wife"" has 4 letters.)",0,0
en,least_associated_word,Qwen2_5-1_5B-Instruct,2829,"Of the following words, choose the word least associated with the word ""vehicles"" - ""tractor"", ""bus"", ""car"", ""motorcycle"", ""sweater"":","""Sweater"" is the word least associated with the word ""vehicles"".",1,1
en,first_alphabetically_far_first_letter,Qwen2_5-1_5B-Instruct,2485,"Of the words ""zoo"" and ""might"", which word comes first alphabetically?","^ The word ""might"" comes first alphabetically.",1,1
en,less_letters,SmolLM2-360M-Instruct,1756,"Which word is shorter, ""subject"" or ""move""?",.,0,0
en,more_letters,EuroLLM-1_7B-Instruct,2737,"Of the words ""cheap"" and ""holiday"" which one has more letters?","The word ""cheap"" has more letters than ""holiday"".",0,0
en,less_letters,EuroLLM-1_7B-Instruct,473,"Which word has fewer letters, ""soul"" or ""sauce""?","The word ""sauce"" has fewer letters than ""soul.""",0,0
en,first_alphabetically_far_first_letter,ZharfaOpen-0309,1812,"In an alphabetical order, which word comes first, ""however"" or ""zoo""?","""however"" comes first in alphabetical order.",1,1
en,smaller_number,salamandra-2b-instruct,2332,"From the numbers 411 and 604, write the smaller number:",The smaller number is 582.,0,0
en,less_letters_length_diff_1,SmolLM2-360M-Instruct,1553,"Which word is shorter, ""player"" or ""mango""?","""Player"" is shorter than ""mango.""",0,0
en,first_word,Qwen2_5-1_5B-Instruct,511,"What is the first word of the sentence ""Lucy sent Jane a letter""?","^ The first word of the sentence ""Lucy sent Jane a letter"" is Lucy.",1,1
en,starts_with_letter,Qwen2_5-1_5B-Instruct,69,"Write a word starting with ""q"":",Quick.,1,1
en,all_words_from_category_0_distractors,EuroLLM-1_7B-Instruct,1160,"Do the words ""banana"", ""mango"", ""melon"", ""peach"", and ""watermelon"" all represent fruit? Answer either ""yes"" or ""no"".","Yes, the words ""banana"", ""mango"", ""melon"", ""peach"", and ""watermelon"" all represent fruit.",1,1
en,last_letter,gemma-3-4b,1649,"Which letter does the word ""matter"" end with?",R,1,1
en,rhyming_word_orthographically_different,EuroLLM-1_7B-Instruct,1567,"Which is a rhyme of the word ""include"", ""side"" or ""food""?","The rhyme of the word ""include"" is ""side"".",0,0
en,ends_with_word,ZharfaOpen-0309,1553,"Write a sentence whose last word is ""celebrating"":",I am celebrating my graduation from college.,0,0
en,word_not_containing,Qwen2_5-1_5B-Instruct,63,"Write a word not containing the letter ""k"":",Pineapple,1,1
en,starts_with_word,Qwen2_5-1_5B-Instruct,1827,"Write a sentence whose first word is ""organizations"":",^ The organizations that provide free legal aid to the poor have seen a significant increase in membership recently.,0,0
en,all_words_from_category_1_distractors,gemma-3-1b,157,"Are all the words ""sofa"", ""desk"", ""mouse"", ""couch"", and ""armchair"" types of furniture? Answer either ""yes"" or ""no"".",yes,0,0
en,ends_with_word,SmolLM2-360M-Instruct,2094,"Write a sentence ending with ""scarves"":","The man wore a scarf over his head, which helped him to keep warm in the cold weather.",0,0
en,any_words_from_category_5_distractors,gemma-3-4b,1657,"Do any of the words ""banana"", ""pineapple"", ""pear"", ""bookcase"", and ""truck"" represent items of clothing? Answer either ""yes"" or ""no"".",no,1,1
en,starts_with_letter,EuroLLM-1_7B-Instruct,78,"Write a word starting with ""z"":",Zebra,1,1
en,less_letters_length_diff_3plus,EuroLLM-1_7B-Instruct,1844,"Which word is shorter, ""flight"" or ""certainly""?","""Flight"" is shorter than ""certainly.""",1,1
en,last_word,ZharfaOpen-0309,84,"What is the last word of the sentence ""Almost every lawyer could answer that question""?","""lawyer""",0,0
en,rhyming_word_orthographically_different,SmolLM2-1_7B-Instruct,945,"Which word rhymes with the word ""clean"", ""pedestrian"" or ""scene""?",at,0,0
en,first_alphabetically_far_first_letter,SmolLM2-1_7B-Instruct,1345,"In an alphabetical order, which word comes first, ""downtown"" or ""village""?","""Downtown"" comes first in an alphabetical order.",1,1
en,most_associated_word,Qwen2_5-1_5B-Instruct,2768,"Of the following words, choose the word most commonly associated with the word ""furniture"" - ""chair"", ""motorcycle"", ""van"", ""train"", ""tractor"":","The word most commonly associated with the word ""furniture"" is ""chair"".",1,1
en,word_before,EuroLLM-1_7B-Instruct,792,"In the sentence ""Her sister hurried"", which word comes right before the word ""hurried""?","The word that comes right before ""hurried"" in the sentence ""Her sister hurried"" is ""her"".",0,0
en,first_alphabetically_same_first_letter,gemma-3-4b,318,"In an alphabetical order, which of the words ""kite"" and ""keyboard"" comes first?",kite,0,0
en,any_words_from_category_4_distractors,Qwen2_5-1_5B-Instruct,2803,"Does the list [""coat"", ""mango"", ""cat"", ""dog"", ""dress""] contain any fruit? Answer either ""yes"" or ""no"".",^ no,0,0
en,more_letters_length_diff_3plus,Llama-3_2-3B-Instruct,1165,"Which word is longer, ""we"" or ""could""?",(we),0,0
en,any_words_from_category_3_distractors,ZharfaOpen-0309,1748,"Do any of the words ""table"", ""strawberry"", ""van"", ""banana"", and ""desk"" represent fruit? Answer either ""yes"" or ""no"".",no,0,0
en,smaller_number,SmolLM2-360M-Instruct,1143,"Of the numbers 774 and 386, which is smaller?",386 is smaller.,1,1
en,less_letters_length_diff_3plus,salamandra-2b-instruct,2856,"Of the words ""dinosaur"" and ""tired"" which one has fewer letters?","The word that has fewer letters is ""dino"".",0,0
en,bigger_number,ZharfaOpen-0309,1433,"Of the numbers 845 and 981, which is bigger?",981 is bigger than 845.,1,1
en,smaller_number,gemma-3-1b,1903,"Of the numbers 763 and 250, which is smaller?",250 is smaller.,1,1
en,less_letters_length_diff_3plus,gemma-3-4b,2873,"Of the words ""do"" and ""match"" which one has fewer letters?",Do,1,1
en,any_words_from_category_5_distractors,Qwen2_5-1_5B-Instruct,1698,"Do any of the words ""couch"", ""coat"", ""truck"", ""pants"", and ""car"" represent fruit? Answer either ""yes"" or ""no"".",^ No.,1,1
en,first_alphabetically_different_first_letter,salamandra-2b-instruct,42,"In an alphabetical order, which of the words ""ice"" and ""kitchen"" comes first?",ustamata,0,0
en,all_words_from_category_0_distractors,salamandra-2b-instruct,1625,"Do the words ""shorts"", ""skirt"", ""shirt"", ""socks"", and ""jeans"" all represent items of clothing? Answer either ""yes"" or ""no"".",ustamata,0,0
en,sentence_not_containing,salamandra-2b-instruct,961,"Write a sentence that doesn't contain the word ""towel"":",The cleaner quickly removed all of the dirty dishes from the table before starting to cook dinner for his family.,1,1
en,first_word,gemma-3-1b,1598,"In the sentence ""I would like for John to win"", what is the first word?",I.,1,1
en,first_letter,Llama-3_1-8B-Instruct,2612,"Write the first letter of the word ""thanks"":",T.,1,1
en,all_words_from_category_2_distractors,SmolLM2-360M-Instruct,2284,"Does the list [""train"", ""motorcycle"", ""mango"", ""tram"", ""jeans""] contain only vehicles? Answer either ""yes"" or ""no"".",.,0,0
en,any_words_from_category_5_distractors,Llama-3_1-8B-Instruct,2710,"Does the list [""cow"", ""shorts"", ""goat"", ""fish"", ""desk""] contain any fruit? Answer either ""yes"" or ""no"".","in the list [""cow"", ""shorts"", ""goat"", ""fish"", ""desk""] does not contain any fruit.",0,1
en,starts_with_word,SmolLM2-360M-Instruct,2967,"Write a sentence starting with ""concentrating"":",The teacher asked the students to concentrate on their work.,0,0
en,word_containing,ZharfaOpen-0309,4,"Write a word that contains the letter ""d"":",درخت,1,0
en,ends_with_letter,EuroLLM-1_7B-Instruct,17,"Write a word that ends with the letter ""s"":","The word that ends with the letter ""s"" is ""squirrel.""",0,0
en,rhyming_word,SmolLM2-1_7B-Instruct,2411,"Of the words ""cancer"" and ""bookstore"", which one rhymes with ""dancer""?","""Cancer"" rhymes with ""dancer"".",1,1
en,more_letters_length_diff_3plus,Qwen2_5-3B-Instruct,2510,"Of the words ""quickly"" and ""late"" which one has more letters?","suddenly, ""quickly"" has 7 letters while ""late"" has 4 letters. Therefore, ""quickly"" has more letters.",1,1
en,first_alphabetically_consecutive_first_letter,Llama-3_2-3B-Instruct,2716,"Of the words ""our"" and ""note"", which word comes first alphabetically?",(note) comes first alphabetically.,0,1
en,any_words_from_category,SmolLM2-1_7B-Instruct,2968,"Does the list [""cow"", ""car"", ""pineapple"", ""train"", ""mouse""] contain any items of clothing? Answer either ""yes"" or ""no"".",at,0,0
en,all_words_from_category,SmolLM2-1_7B-Instruct,1596,"Do the words ""pineapple"", ""melon"", ""peach"", ""apple"", and ""shirt"" all represent fruit? Answer either ""yes"" or ""no"".",at,0,0
en,word_after,EuroLLM-1_7B-Instruct,2255,"Which word comes right after ""Ellen"" in the sentence ""Ellen talked with Helen about the problem""?","The word that comes right after ""Ellen"" in the sentence ""Ellen talked with Helen about the problem"" is ""about"".",0,0
en,first_alphabetically_same_first_letter,SmolLM2-1_7B-Instruct,1569,"In an alphabetical order, which word comes first, ""animal"" or ""art""?",at,0,0
en,less_letters_length_diff_1,gemma-3-1b,2947,"Of the words ""reading"" and ""yourself"" which one has fewer letters?",“reading” has fewer letters.,0,1
en,word_containing,Qwen2_5-3B-Instruct,71,"Write a word containing the letter ""s"":",Buses,1,1
en,bigger_number,SmolLM2-360M-Instruct,2442,"From the numbers 64 and 905, write the bigger number:",.,0,0
en,less_letters_length_diff_1,Qwen2_5-1_5B-Instruct,2015,"Of the words ""quickly"" and ""keyboard"" which one has fewer letters?","^ ""Quickly"" has 7 letters, while ""keyboard"" has 8 letters. Therefore, ""quickly"" has fewer letters than ""keyboard"".",1,1
en,first_alphabetically_different_first_letter,gemma-3-4b,1267,"In an alphabetical order, which word comes first, ""engine"" or ""site""?",Engine,1,1
en,first_alphabetically_consecutive_first_letter,salamandra-2b-instruct,785,"In an alphabetical order, which of the words ""room"" and ""shorts"" comes first?",ustamata,0,0
en,least_associated_word,SmolLM2-360M-Instruct,1286,"What is the word least related to the word ""clothes"" from the words ""sweater"", ""jacket"", ""skirt"", ""socks"", and ""duck""?","The word least related to the word ""clothes"" is ""ducks"".",0,1
en,first_alphabetically_same_first_letter,EuroLLM-1_7B-Instruct,1214,"In an alphabetical order, which word comes first, ""group"" or ""good""?","In an alphabetical order, ""group"" comes first.",0,1
en,ends_with_letter,Qwen2_5-1_5B-Instruct,32,"Write a word whose last letter is ""i"":",Picture,0,0
en,all_words_from_category,Qwen2_5-3B-Instruct,1339,"Do the words ""fish"", ""mouse"", ""goat"", ""cow"", and ""cat"" all represent animals? Answer either ""yes"" or ""no"".","sufficient information to definitively answer, but based on common knowledge:
Yes",0,1
en,word_not_containing,Llama-3_2-3B-Instruct,46,"Write a word without using the letter ""t"":",Ocean,1,1
en,sentence_containing,gemma-3-4b,2095,"Write a sentence containing the word ""single"":",He ordered a single scoop of vanilla ice cream.,1,1
en,first_alphabetically_same_first_letter,gemma-3-1b,2439,"Of the words ""cafeteria"" and ""church"", which word comes first alphabetically?",Cafeteria.,1,1
en,rhyming_word_orthographically_different,salamandra-2b-instruct,2633,"Of the words ""joke"" and ""steak"", which one rhymes with ""mistake""?","The word that rhymes with ""mistake"" is ""joke"".",0,0
en,last_letter,salamandra-2b-instruct,2947,"Write the last letter of the word ""baby"":",ustamata,0,0
en,homophones,ZharfaOpen-0309,1904,"Which is a homophone of the word ""dough"", ""bake"" or ""doe""?","""bake"" is a homophone of the word ""dough"".",0,0
en,ends_with_word,Qwen2_5-1_5B-Instruct,1378,"Write a sentence whose last word is ""attacks"":","^That's not a complete thought, but I can try: ""The angry mob attacks the helpless victims.""",0,0
en,word_before,Llama-3_1-8B-Instruct,1231,"In the sentence ""Sonatas are easy to play on this violin"", which word immediately precedes the word ""on""?","The word ""this"" immediately precedes the word ""on"" in the given sentence.",0,1
en,smaller_number,gemma-3-4b,1310,"Of the numbers 196 and 694, which is smaller?",196 is smaller.,1,1
en,more_letters_length_diff_1,SmolLM2-1_7B-Instruct,1113,"Which word is longer, ""notice"" or ""skating""?","""Skating"" is longer.",1,1
en,rhyming_word_orthographically_different,Llama-3_1-8B-Instruct,2782,"Of the words ""neat"" and ""classmate"", which one rhymes with ""delete""?","in the given words, ""neat"" rhymes with ""delete"".",0,1
en,less_letters,Llama-3_1-8B-Instruct,498,"Which word has fewer letters, ""key"" or ""bear""?","in the words ""key"" and ""bear"", ""key"" has fewer letters.",1,1
en,word_before,EuroLLM-1_7B-Instruct,2704,"Which word comes right before ""Manuel"" in the sentence ""I bought Manuel some flowers""?","The word that comes right before ""Manuel"" in the sentence ""I bought Manuel some flowers"" is ""some"".",0,0
en,any_words_from_category_4_distractors,Qwen2_5-3B-Instruct,2268,"Does the list [""mango"", ""strawberry"", ""cat"", ""melon"", ""table""] contain any animals? Answer either ""yes"" or ""no"".",No,0,0
en,sentence_containing,Qwen2_5-1_5B-Instruct,1197,"Write a sentence using the word ""scooter"":",I love riding my electric scooter to work every day.,1,1
en,word_after,salamandra-2b-instruct,51,"In the sentence ""Ellen warned against skating on thin ice"", which word comes right after the word ""on""?","The word that comes right after ""skating"" in the sentence is ""thin"". So, 
""Ellen warned against skating on thin",0,0
en,less_letters_length_diff_1,Llama-3_1-8B-Instruct,1518,"Which word is shorter, ""bike"" or ""top""?","in the word ""bike"" has 4 letters, while the word ""top"" has 3 letters. Therefore, ""top"" is shorter.",1,1
en,all_words_from_category_0_distractors,ZharfaOpen-0309,1107,"Do the words ""apple"", ""mango"", ""banana"", ""melon"", and ""watermelon"" all represent fruit? Answer either ""yes"" or ""no"".",Yes.,1,1
en,less_letters_length_diff_1,gemma-3-4b,1454,"Which word is shorter, ""diploma"" or ""player""?",“Diploma” is shorter.,0,1
en,ends_with_word,gemma-3-4b,1538,"Write a sentence whose last word is ""seas"":",The salty air carried the scent of distant seas.,1,1
en,first_alphabetically_different_first_letter,Llama-3_2-3B-Instruct,1171,"In an alphabetical order, which word comes first, ""good"" or ""work""?",(work) comes before (good) in alphabetical order.,0,0
en,all_words_from_category_2_distractors,Qwen2_5-1_5B-Instruct,1479,"Do the words ""desk"", ""socks"", ""table"", ""peach"", and ""chair"" all represent furniture? Answer either ""yes"" or ""no"".",^ Yes.,0,0
en,smaller_number,EuroLLM-1_7B-Instruct,2775,"From the numbers 245 and 47, write the smaller number:",The smaller number from the numbers 245 and 47 is 245.,0,0
en,rhyming_word_orthographically_different,Qwen2_5-3B-Instruct,1059,"Which is a rhyme of the word ""afraid"", ""avoid"" or ""trade""?","sawed

The word ""afraid"" rhymes with ""sawed,"" as both end in ""-eed.""",0,0
en,rhyming_word,gemma-3-1b,2245,"Of the words ""high"" and ""tall"", which one rhymes with ""wall""?",“Tall” rhymes with “wall”.,0,1
en,smaller_number,Qwen2_5-1_5B-Instruct,1846,"Of the numbers 737 and 196, which is smaller?",196 is smaller than 737.,1,1
en,most_associated_word,gemma-3-4b,1927,"What is the word most related to the word ""animals"" from the words ""bookcase"", ""table"", ""chair"", ""armchair"", and ""goat""?",Goat,1,1
en,starts_with_word,Llama-3_1-8B-Instruct,1717,"Write a sentence whose first word is ""raising"":","in the context of education, raising awareness about environmental issues is crucial for a sustainable future.",0,0
en,most_associated_word,gemma-3-1b,796,"Of the words ""sweater"", ""bus"", ""shorts"", ""socks"", and ""skirt"", what is the word most commonly associated with ""vehicles""?",Bus,1,1
en,most_associated_word,ZharfaOpen-0309,111,"Of the words ""motorcycle"", ""truck"", ""tram"", ""train"", and ""armchair"", what is the word most commonly associated with ""furniture""?","The word most commonly associated with ""furniture"" is ""armchair"".",1,1
en,sentence_not_containing,SmolLM2-360M-Instruct,2311,"Write a sentence not containing the word ""highway"":",The new highway is expected to be completed by the end of the year.,0,0
en,any_words_from_category_4_distractors,SmolLM2-1_7B-Instruct,437,"Are any of the words ""banana"", ""mouse"", ""sweater"", ""melon"", and ""dress"" types of animals? Answer either ""yes"" or ""no"".",at,0,0
en,first_alphabetically,ZharfaOpen-0309,2352,"Of the words ""knife"" and ""unfortunately"", which word comes first alphabetically?","The word ""unfortunately"" comes first alphabetically.",0,0
en,all_words_from_category,gemma-3-4b,268,"Are all the words ""sweater"", ""dress"", ""jacket"", ""socks"", and ""jeans"" types of clothing? Answer either ""yes"" or ""no"".",Yes,1,1
en,rhyming_word_orthographically_similar,SmolLM2-1_7B-Instruct,2834,"Of the words ""mug"" and ""sheet"", which one rhymes with ""meet""?","""Mug"" rhymes with ""meet"".",0,0
en,less_letters_length_diff_1,EuroLLM-1_7B-Instruct,556,"Which word has fewer letters, ""piano"" or ""soft""?","The word ""soft"" has fewer letters than ""piano.""",1,1
en,homophones,SmolLM2-360M-Instruct,2068,"Which is a homophone of the word ""knot"", ""piano"" or ""not""?","The word ""knot"" is a homophone of the word ""piano"".",0,0
en,any_words_from_category_4_distractors,Llama-3_2-3B-Instruct,2857,"Does the list [""cow"", ""van"", ""jacket"", ""bed"", ""dog""] contain any furniture? Answer either ""yes"" or ""no"".",(no),0,0
en,more_letters,Qwen2_5-1_5B-Instruct,797,"Which word has more letters, ""reading"" or ""buy""?",^ reading has 7 letters while buy has only 3.,0,0
en,more_letters_length_diff_1,Qwen2_5-1_5B-Instruct,1357,"Which word is longer, ""insect"" or ""singular""?","The word ""insect"" is longer than ""singular"".",0,0
en,starts_with_word,Qwen2_5-3B-Instruct,287,"Write a sentence that starts with the word ""practices"":",Practices yoga every morning to start their day.,1,1
en,ends_with_word,salamandra-2b-instruct,627,"Write a sentence that ends with the word ""tasting"":",I am sure you will love it when you taste this delicious dish!,0,0
en,least_associated_word,gemma-3-1b,1743,"What is the word least related to the word ""fruit"" from the words ""apple"", ""lemon"", ""strawberry"", ""banana"", and ""dog""?",Dog.,1,1
en,any_words_from_category_4_distractors,EuroLLM-1_7B-Instruct,1664,"Do any of the words ""van"", ""bed"", ""pants"", ""fish"", and ""train"" represent animals? Answer either ""yes"" or ""no"".","Yes, the word ""van"" represents an animal.",1,1
en,rhyming_word,SmolLM2-360M-Instruct,1376,"Which is a rhyme of the word ""liter"", ""meter"" or ""seriously""?",.,0,0
en,first_word,Qwen2_5-1_5B-Instruct,2718,"Write the first word of the sentence ""All the foxes were hunted by Larry"":","^ The first word is ""All"".",1,1
en,more_letters,SmolLM2-360M-Instruct,169,"Which word has more letters, ""fog"" or ""musical""?","""Fog"" has more letters than ""musical"".",0,0
en,last_word,gemma-3-1b,2000,"In the sentence ""John talked to Bill about himself"", what is the last word?",Self.,0,0
en,word_after,Llama-3_1-8B-Instruct,383,"In the sentence ""I wonder if you will come back tomorrow"", which word comes right after the word ""come""?","in the sentence ""I wonder if you will come back tomorrow"", the word that comes right after ""come"" is ""back"".",1,1
en,bigger_number,Qwen2_5-3B-Instruct,2740,"From the numbers 973 and 619, write the bigger number:",The bigger number is 973.,1,1
en,sentence_containing,Llama-3_2-3B-Instruct,523,"Write a sentence that contains the word ""jacket"":",She put on her favorite denim jacket to brave the chilly autumn evening.,1,1
en,word_after,SmolLM2-1_7B-Instruct,2223,"Which word comes right after ""eggs"" in the sentence ""The eggs mixed with the cream""?",at,0,0
en,first_alphabetically_consecutive_first_letter,Qwen2_5-1_5B-Instruct,1256,"In an alphabetical order, which word comes first, ""room"" or ""quite""?",^ quite ^,1,1
en,ends_with_word,Llama-3_1-8B-Instruct,1892,"Write a sentence whose last word is ""skiing"":","in the Swiss Alps, she loved to go snowboarding and then switch to skiing.",1,1
en,word_containing,SmolLM2-360M-Instruct,44,"Write a word using the letter ""r"":","""Rhythm""",1,1
en,less_letters_length_diff_3plus,Qwen2_5-3B-Instruct,1784,"Which word is shorter, ""of"" or ""bring""?","sbring is shorter than of.

However, if we consider the number of characters including spaces (if any), ""of"" has 2 characters while ""bring",0,0
en,first_alphabetically_different_first_letter,gemma-3-4b,2078,"Of the words ""wide"" and ""chair"", which word comes first alphabetically?",Chair,1,1
en,bigger_number,gemma-3-1b,7,"Which number is bigger, 99 or 505?",505 is bigger.,1,1
en,word_after,Llama-3_2-3B-Instruct,1981,"In the sentence ""The child and her mother clung together"", which word immediately succeeds the word ""The""?",(her),0,0
en,first_letter,salamandra-2b-instruct,735,"What is the first letter of the word ""boy""?",ustamata,0,0
en,first_alphabetically_same_first_letter,salamandra-2b-instruct,932,"In an alphabetical order, which of the words ""principal"" and ""party"" comes first?",ustamata,0,0
en,any_words_from_category_5_distractors,gemma-3-1b,2985,"Does the list [""couch"", ""van"", ""sofa"", ""melon"", ""strawberry""] contain any animals? Answer either ""yes"" or ""no"".",no,1,1
en,sentence_containing,Qwen2_5-3B-Instruct,264,"Write a sentence that contains the word ""school"":","The school bell rang, signaling the end of the day for students.",1,1
en,all_words_from_category_2_distractors,ZharfaOpen-0309,2183,"Does the list [""pants"", ""pig"", ""car"", ""chicken"", ""cat""] contain only animals? Answer either ""yes"" or ""no"".",no,1,1
en,first_alphabetically_same_first_letter,Llama-3_1-8B-Instruct,1093,"In an alphabetical order, which word comes first, ""give"" or ""gold""?","In alphabetical order, ""give"" comes before ""gold"".",1,1
en,ends_with_letter,SmolLM2-360M-Instruct,10,"Write a word that ends with the letter ""k"":",Kill,0,0
en,homophones,SmolLM2-1_7B-Instruct,206,"Which word sounds like the word ""sensor"", ""detector"" or ""censor""?","""Sensor"" sounds like the word ""sensor"".",0,0
en,first_alphabetically_consecutive_first_letter,SmolLM2-1_7B-Instruct,1673,"In an alphabetical order, which word comes first, ""into"" or ""join""?","at the beginning of the alphabet, ""into"" comes before ""join"".",1,1
en,all_words_from_category_2_distractors,Llama-3_1-8B-Instruct,622,"Are all the words ""bookcase"", ""motorcycle"", ""bus"", ""tram"", and ""strawberry"" types of vehicles? Answer either ""yes"" or ""no"".",No.,1,1
en,less_letters,Qwen2_5-3B-Instruct,1278,"Which word is shorter, ""nature"" or ""plate""?",s plate is shorter with 4 letters compared to nature with 5 letters.,1,1
en,first_alphabetically_far_first_letter,EuroLLM-1_7B-Instruct,995,"In an alphabetical order, which of the words ""life"" and ""zoo"" comes first?","The word ""life"" comes first in an alphabetical order.",1,1
en,last_letter,Qwen2_5-3B-Instruct,912,"What is the last letter of the word ""change""?","The last letter of the word ""change"" is ""e"".",1,1
en,last_letter,Llama-3_2-3B-Instruct,2206,"Write the last letter of the word ""never"":","The last letter of the word ""never"" is R.",1,1
en,all_words_from_category_2_distractors,Llama-3_2-3B-Instruct,2549,"Does the list [""cow"", ""coat"", ""pig"", ""mouse"", ""jeans""] contain only animals? Answer either ""yes"" or ""no"".",(no),1,1
en,starts_with_word,Llama-3_2-3B-Instruct,1355,"Write a sentence whose first word is ""painting"":",(The) painting on the wall was a beautiful work of art created by a renowned local artist.,0,0
